codigo_eje;nombre_eje;coddisa;nomdisa;codred;codmicro;codigo_pre;nombre_pre;almtipo;red;diris;CATEGORIA;DISTRITO;MICRORED;RISS;NORTE;ESTE;BOLETEA
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;04;06183;CENTRO DE SALUD TODOS LOS SANTOS SAN BORJA;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06184;BREÐA;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06185;CHACRA COLORADA;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06186;CONDE DE LA VEGA BAJA;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06187;CENTRO DE SALUD MIRONES BAJO;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06188;PUESTO DE SALUD RESCATE;P;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06189;PALERMO;P;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06190;SANTA ROSA;P;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06191;SAN SEBASTIAN;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06192;MIRONES;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06193;UNIDAD VECINAL N║ 3;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06194;CENTRO DE SALUD VILLA MARIA PERPETUO SOCORRO;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;03;06195;LINCE;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;02;06196;MAGDALENA;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;04;06197;SAN ISIDRO;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;02;06198;SAN MIGUEL;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;02;06199;HUACA PANDO;P;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;04;06200;CENTRO DE SALUD SANTA CRUZ DE MIRAFLORES;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;02;06201;JESUS MARIA;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06202;CENTRO REF. ESP. ANTIRRABICO - ESPECIALIZADO EN ZOONOSIS;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;21;01;06203;CENTRO ESPECIALIZADO DE REFERENCIA DE ITSS Y VIH/SIDA RAUL PATRUCCO PUIG;C;LIMA CIUDAD;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;06204;LABORATORIO DE REFERENCIA;O;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;06205;CENTRO S. ESPECIALIZ. VACUNACION INTERNACION;O;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;00;00;06206;NACIONAL  DOS DE MAYO;H;NO PERTENECE A NINGUNA RED;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;00;00;06207;NACIONAL ARZOBISPO LOAYZA;H;NO PERTENECE A NINGUNA RED;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;06208;INSTITUTO NACIONAL MATERNO PERINATAL;I;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;06209;INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS;I;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;06210;INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS;I;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;00;00;06211;HOSPITAL DE APOYO SANTA ROSA;H;NO PERTENECE A NINGUNA RED;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;00;00;06212;HOSPITAL DE EMERGENCIAS PEDIATRICAS;H;NO PERTENECE A NINGUNA RED;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;00;00;06213;HOSPITAL DE EMERGENCIAS JOSE CASIMIRO ULLOA;H;NO PERTENECE A NINGUNA RED;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;00;00;06214;HOSPITAL VICTOR LARCO HERRERA;H;NO PERTENECE A NINGUNA RED;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;00;00;06215;HOSPITAL NACIONAL DOCENTE MADRE NIÐO SAN BARTOLOME;H;NO PERTENECE A NINGUNA RED;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;06216;INSTITUTO NACIONAL DE SALUD DEL NIÐO;I;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;06217;NACIONAL DE OFTALMOLOGIA;I;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;038;DIRIS LIMA ESTE;01;06;06616;VIÐA ALTA;C;LIMA ESTE METROPOLITANA;LIMA ESTE;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;21;01;06619;RAMON CARCAMO;P;LIMA CIUDAD;;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;21;01;06620;1ERO DE MAYO;P;LIMA CIUDAD;;;;;;;;
